"Function","CPU Time: Total","CPU Time: Self","Instructions Retired: Total","Instructions Retired: Self","Microarchitecture Usage: Total","Microarchitecture Usage: Self","Module","Function (Full)","Source File","Start Address"
"xavs2_pixel_add_ps_32x32_avx2","0.148444","0.148444","1054400000","1054400000","0.700946","0.700946","xavs2","xavs2_pixel_add_ps_32x32_avx2","[Unknown]","0x15a570"
"biari_encode_symbol_fastrdo","0.182222","0.146667","1776000000","1440000000","0.584315","0.577347","xavs2","biari_encode_symbol_fastrdo","aec_fastrdo.c","0x76abf"
"xavs2_pixel_sub_ps_8x8_sse4","0.145778","0.145778","806400000","806400000","0.332242","0.332242","xavs2","xavs2_pixel_sub_ps_8x8_sse4","[Unknown]","0x1564e0"
"xavs2_pred_inter_search_bi","0.298667","0.140444","2097600000","932800000","0.320392","0.349855","xavs2","xavs2_pred_inter_search_bi","md_inter.c","0x8764c"
"xavs2_coeff_scan4_xy_sse128","0.387556","0.139556","1172800000","305600000","0.220354","0.133179","xavs2","xavs2_coeff_scan4_xy_sse128","intrinsic_cg_scan.c","0xde4ad"
"xavs2_pixel_ssd_64x64_avx2","0.139556","0.139556","1307200000","1307200000","0.642588","0.642588","xavs2","xavs2_pixel_ssd_64x64_avx2","[Unknown]","0x1ae4e0"
"biari_encode_symbol_fastrdo","0.142222","0.138667","1059200000","1043200000","0.291325","0.316407","xavs2","biari_encode_symbol_fastrdo","aec_fastrdo.c","0x77c0f"
"xavs2_pixel_sad_x3_64x32_avx2","0.132444","0.132444","1316800000","1316800000","0.454249","0.454249","xavs2","xavs2_pixel_sad_x3_64x32_avx2","[Unknown]","0x1933d0"
"aec_write_run_level_chroma","0.462222","0.129778","1627200000","552000000","0.218546","0.226293","xavs2","aec_write_run_level_chroma","aec.c","0x607f3"
"check_mv_range_sym","0.149333","0.128889","1040000000","862400000","0.398875","0.356183","xavs2","check_mv_range_sym","md_inter.c","0x834fc"
"check_mv_range","0.128889","0.128889","1409600000","1409600000","0.420603","0.420603","xavs2","check_mv_range","predict.h","0x28c27"
"xavs2_blockcopy_ss_32x32_avx","0.125333","0.125333","560000000","560000000","0.11655","0.11655","xavs2","xavs2_blockcopy_ss_32x32_avx","[Unknown]","0x123c00"
"xavs2_dct_4x4_avx2","0.124444","0.124444","1179200000","1179200000","0.467083","0.467083","xavs2","xavs2_dct_4x4_avx2","[Unknown]","0x125c80"
"aec_get_shift","0.124444","0.124444","857600000","857600000","0.476029","0.476029","xavs2","aec_get_shift","aec_fastrdo.c","0x7852e"
"xavs2_pixel_satd_4x4_mmx2","0.123556","0.123556","856000000","856000000","0.556311","0.556311","xavs2","xavs2_pixel_satd_4x4_mmx2","[Unknown]","0x198dc0"
"write_luma_block_coeff_fastrdo","19.5813","0.120889","129457600000","809600000","0.359876","0.347223","xavs2","write_luma_block_coeff_fastrdo","aec_fastrdo.c","0x76fc3"
"update_valid_modes_by_complexity","0.128889","0.12","500800000","472000000","0.160794","0.180851","xavs2","update_valid_modes_by_complexity","rdo.c","0x32c0b"
"biari_encode_symbol_fastrdo","0.12","0.12","571200000","571200000","0.357143","0.357143","xavs2","biari_encode_symbol_fastrdo","aec_fastrdo.c","0x77d7e"
"cu_recon_inter_luma","0.282667","0.118222","1801600000","928000000","0.401349","0.578873","xavs2","cu_recon_inter_luma","rdo.c","0x27506"
"intpl_chroma_block_ext_w16_avx2","0.590222","0.117333","4939200000","1153600000","0.304851","0.312762","xavs2","intpl_chroma_block_ext_w16_avx2","intrinsic_inter_pred_avx2.c","0x10ffd2"
"xavs2_fill_edge_samples_xy_sse128","0.141333","0.116444","561600000","488000000","0.329671","0.36628","xavs2","xavs2_fill_edge_samples_xy_sse128","intrinsic_intra-filledge.c","0x994ab"
"xavs2_get_mvp_default","0.448889","0.113778","2843200000","804800000","0.379466","0.355264","xavs2","xavs2_get_mvp_default","md_inter.c","0x83807"
"cu_copy_stored_parameters","0.267556","0.112","1064000000","516800000","0.160317","0.177059","xavs2","cu_copy_stored_parameters","rdo.c","0x342e2"
"xavs2_pixel_sub_ps_64x32","0.111111","0.111111","1352000000","1352000000","0.713092","0.713092","xavs2","xavs2_pixel_sub_ps_64x32","pixel.c","0x4eb33"
"xavs2_dct_c_32x32_half_avx2","2.29511","0.111111","13166400000","380800000","0.460027","0.435269","xavs2","xavs2_dct_c_32x32_half_avx2","intrinsic_dct_avx.c","0xf844e"
"xavs2_pixel_add_ps_64x64_avx2","0.109333","0.109333","1052800000","1052800000","0.392802","0.392802","xavs2","xavs2_pixel_add_ps_64x64_avx2","[Unknown]","0x15acf0"
"xavs2_pixel_sad_x3_32x16_avx2","0.108444","0.108444","806400000","806400000","0.34205","0.34205","xavs2","xavs2_pixel_sad_x3_32x16_avx2","[Unknown]","0x191100"
"memcpy","0.108444","0.108444","411200000","411200000","0.221672","0.221672","xavs2","memcpy","string_fortified.h","0x24abd"
"xavs2_pixel_sad_x3_8x8_avx2","0.108444","0.108444","897600000","897600000","0.432423","0.432423","xavs2","xavs2_pixel_sad_x3_8x8_avx2","[Unknown]","0x190b00"
"biari_encode_symbol_fastrdo","0.107556","0.107556","796800000","796800000","0.259718","0.259718","xavs2","biari_encode_symbol_fastrdo","aec_fastrdo.c","0x76b6f"
"write_cu_header_fastrdo","0.614222","0.106667","3043200000","603200000","0.252597","0.332841","xavs2","write_cu_header_fastrdo","aec_fastrdo.c","0x7ac67"
"check_mv_range","0.106667","0.106667","1006400000","1006400000","0.596592","0.596592","xavs2","check_mv_range","predict.h","0x8705e"
"xavs2_pixel_satd_32x32_avx2","0.106667","0.106667","891200000","891200000","0.384832","0.384832","xavs2","xavs2_pixel_satd_32x32_avx2","[Unknown]","0x1a8d80"
"xavs2_intpl_chroma_block_ext_sse128","0.418667","0.104","3676800000","1091200000","0.57567","0.638687","xavs2","xavs2_intpl_chroma_block_ext_sse128","intrinsic_inter_pred.c","0x8bec9"
"check_mv_range","0.103111","0.103111","867200000","867200000","0.38234","0.38234","xavs2","check_mv_range","predict.h","0x31e2c"
"aec_write_cu_cbp_fastrdo","0.181333","0.102222","940800000","457600000","0.290043","0.227773","xavs2","aec_write_cu_cbp_fastrdo","aec_fastrdo.c","0x788f3"
"tu_rdcost_inter","0.174222","0.101333","1044800000","726400000","0.244826","0.239688","xavs2","tu_rdcost_inter","rdo.c","0x24b42"
"offset_estimation","0.114667","0.0995556","1136000000","979200000","0.572803","0.405524","xavs2","offset_estimation","sao.c","0x1efe9"
"plane_expand_border","0.0995556","0.0977778","168000000","168000000","0.130785","0.125755","xavs2","plane_expand_border","frame.c","0x79ae"
"biari_encode_symbol_fastrdo","0.0968889","0.0968889","1067200000","1067200000","0.848103","0.848103","xavs2","biari_encode_symbol_fastrdo","aec_fastrdo.c","0x76a5a"
"check_mv_range","0.096","0.096","726400000","726400000","0.190909","0.190909","xavs2","check_mv_range","predict.h","0x86d14"
"biari_encode_symbol_fastrdo","0.112889","0.096","718400000","646400000","0.352693","0.301458","xavs2","biari_encode_symbol_fastrdo","aec_fastrdo.c","0x76c1b"
"rdo_get_pred_inter","0.297778","0.096","2204800000","542400000","0.392427","0.277584","xavs2","rdo_get_pred_inter","rdo.c","0x31d5d"
"tu_get_cg_run_level_info","0.0951111","0.0951111","313600000","313600000","0.245236","0.245236","xavs2","tu_get_cg_run_level_info","aec.h","0x608c3"
"is_same_skip_mc_param","0.0942222","0.0942222","953600000","953600000","0.422901","0.422901","xavs2","is_same_skip_mc_param","rdo.c","0x24a95"
